COMMUNE_NOM,COLL_SIRET,ANIMATIONS,DATE DEBUT,DATE FIN,ORGANISATEUR,LIEU 1,LIEU 2,LIEU 3
Antibes,21060004500012,Répétition Gala de Fin d'année,2019-06-23,2019-06-23,Antibes Jazz,Salle Saint Claude,,
Antibes,21060004500012,Challenge GB,2019-06-23,2019-06-23,Assoc Sportive Safami Monroe,Terrain n°1 de la Fontonne,,
Antibes,21060004500012,Tournée Handivoile 06,2019-06-28,2019-06-29,Département des Alpes-Maritimes,Ponteil/Salis,,
Antibes,21060004500012,Tournée Handisub 06,2019-06-29,2019-06-30,Comité d’étude et des Sports sous marins AM,Ponteil,,
Antibes,21060004500012,Tournoi Inter de Badminton,2019-06-29,2019-06-30,Badminton Club d'Antibes,Salle Saint Claude,,
Antibes,21060004500012,Répétition Gala de fin d'année ,2019-06-30,2019-06-30,Antibes Jazz,Salle Salusse Santoni,,
Antibes,21060004500012,Réception des Sportifs,2019-07-03,2019-07-03,Direction des Sports de la Ville d'Antibes,Azurarena Antibes,,
Antibes,21060004500012,Mondial Footvolley,2019-07-05,2019-07-07,Association FootVolley Antibes,Pinède Gould,,
Antibes,21060004500012,Championnat TAE 50m,2019-07-06,2019-07-06,Compagnie d'arc d'Antibes,ZI des 3 moulins,,
Antibes,21060004500012,Baptême des Pieds Lourds,2019-07-06,2019-07-06,Antibes Subaquatique Azur,Plage du Fort Carré,,
Antibes,21060004500012,Entraînement Boxe Tony Yoka,2019-07-10,2019-07-10,Sharks d'Antibes,Pré des Pêcheurs ,,
Antibes,21060004500012,19ème national de Boule Carrée,2019-07-14,2019-07-14,Commune Libre du Safranier,Safranier,,
Antibes,21060004500012,Tour de France Kiwanis,2019-07-20,2019-07-20,Kiwanis,Creps,,
Antibes,21060004500012,Jeux de la Jeunesse d'Aalborg,2019-07-30,2019-08-04,Direction des Sports de la Ville d'Antibes,AALBORG ,,
Antibes,21060004500012,31ème Challenge Marc Grilli,2019-08-21,2019-08-21,Belles Rives Ski Nautique Club,Juan-les-Pins,,
Antibes,21060004500012,Tournoi jeunes du TCA,2019-08-24,2019-09-01,Tennis Club d'Antibes,Tennis Jules Grec,,
Antibes,21060004500012,Tournoi et Assemblée générale,2019-09-01,2019-09-01,OAJLP Volley-Ball,Stade du Fort Carré pelouse,,
Antibes,21060004500012,Tournoi Pre Saison,2019-09-07,2019-09-07,AS Fontonne,Parc des sport Dr Léger,,
Antibes,21060004500012,Fête de la Jeunesse ,2019-09-08,2019-09-08,Direction des Sports de la Ville d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,Tournoi Riviera Antibes ITF,2019-09-08,2019-09-15,Tennis Club d'Antibes,Tennis Club d'Antibes,,
Antibes,21060004500012,Championnat de France de Handball,2019-09-13,2019-09-13,Sapeurs-Pompiers d'Antibes,Salle Saint Claude,,
Antibes,21060004500012,Tournoi Pre Saison,2019-09-14,2019-09-14,AS Fontonne,Parc des sport Dr Léger,,
Antibes,21060004500012,Challenge Bonnetot,2019-09-14,2019-09-14,Club Loisirs de la Gendarmerie d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,Ti-Plage,2019-09-15,2019-09-15,BDE Polytech Nice Sophia,Plage du Pont du Lys,,
Antibes,21060004500012,Concours d'Agility,2019-09-15,2019-09-15,Amicale du Chien de Travail d'Antibes,ZI des 3 moulins,,
Antibes,21060004500012,Concours BACA,2019-09-21,2019-09-21,Boule Amicale du Cap d'Antibes,Clos Jean Bunoz,,
Antibes,21060004500012,Rencontre Interclub N3,2019-09-21,2019-09-21,Badminton Club d'Antibes,Gymnase de la Fontonne,,
Antibes,21060004500012,Riviera Tag Rugby Festival,2019-09-21,2019-09-21,Riviera Tag Club,Stade du Fort Carré,,
Antibes,21060004500012,Tournoi Beach Rugby,2019-09-28,2019-09-28,Esprit Passion Ovale Skéma Business School,Juan-les-Pins,,
Antibes,21060004500012,Yoga au Lever du Soleil,2019-09-28,2019-09-28,Institut Français de Yoga Provence Alpes Côte d'Azur,Plage du Ponteil,,
Antibes,21060004500012,Sentez-vous Sport,2019-09-29,2019-09-29,CDOS,Base Nautique du Ponteil,,
Antibes,21060004500012,40ème Édition de Courir pour une Fleur,2019-10-13,2019-10-13,Direction des Sports de la Ville d'Antibes,Pinède et Cap d'Antibes,,
Antibes,21060004500012,Nuit du Hand,2019-10-19,2019-10-19,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,Tournoi Qualificatif Championnat de France U19,2019-10-26,2019-10-27,ASF Hockey,Stade de la Fontonne T3,,
Antibes,21060004500012,Match de basket Leader Cup Antibes,2019-10-29,2019-10-29,Sharks d'Antibes,Azurarena Antibes,,
Antibes,21060004500012,Rencontre Interclub N3 et R1,2019-11-02,2019-11-03,Badminton Club d'Antibes,Gymnase de la Fontonne,,
Antibes,21060004500012,Marathon Nice - Cannes,2019-11-03,2019-11-03,Azur Sport Organisation ,Antibes,,
Antibes,21060004500012,Cross de l'UNSS,2019-11-06,2019-11-06,UNSS de District,Stade du Fort Carré,,
Antibes,21060004500012,Cross du Poilu ,2019-11-07,2019-11-07,Direction des Sports de la Ville d'Antibes,Stade du Fort Carré,,
Antibes,21060004500012,Match de basket Antibes ,2019-11-08,2019-11-08,Sharks d'Antibes,Azurarena Antibes,,
Antibes,21060004500012,Journée Champêtre ,2019-11-10,2019-11-10,Pétanque Antiboise,Criée Florale,,
Antibes,21060004500012,Challenge Belmas,2019-11-11,2019-11-11,Rugby Club Sophia Antipolis,Stade Gilbert Auvergne,,
Antibes,21060004500012,Cross du collège ,2019-11-12,2019-11-12,AS Collège Sidney Bechet,Parc Exflora,,
Antibes,21060004500012,Réception des Présidents,2019-11-16,2019-11-16,Direction des Sports de la Ville d'Antibes,Villa Eilenroc,,
Antibes,21060004500012,Cross du Fort Carré ,2019-11-16,2019-11-16,ERAA,Stade du Fort Carré,,
Antibes,21060004500012,Rassemblement UFOLEP,2019-11-17,2019-11-17,Olympique Cyclo Club d'Antibes,Square Albert 1er,,
Antibes,21060004500012,Match de basket Antibes/Nantes,2019-11-22,2019-11-22,Sharks d'Antibes,Azurarena Antibes,,
Antibes,21060004500012,Champ Départ de Tir ,2019-11-30,2019-11-30,Tir Sportif d'Antibes,ZI des 3 moulins,,
Antibes,21060004500012,Championnat Départemental d'Athlétisme,2019-12-04,2019-12-04,ERAA,Stade du Fort Carré,,
Antibes,21060004500012,Cross des 3ème du Collège Roustan,2019-12-04,2019-12-04,Collège Roustan,Stade Foch,,
Antibes,21060004500012,Téléthon ,2019-12-07,2019-12-07,Direction Animation et Activités Culturelles,Place Nationale,,
Antibes,21060004500012,Téléthon du Collège Roustan ,2019-12-07,2019-12-07,Collège Roustan,Stade Foch,,
Antibes,21060004500012,Championnat Départemental de Natation,2019-12-08,2019-12-08,CDSA 06,Stade Nautique d'Antibes,,
Antibes,21060004500012,Réunion FFCT,2019-12-14,2019-12-14,Olympique Cyclo Club d'Antibes,Au club,,
Antibes,21060004500012,29ème trophée René BEGUINET,2019-12-15,2019-12-15,Antibes Triathlon,Pinède,Cap d'Antibes,
Antibes,21060004500012,Bain du jour de l'an,2020-01-01,2020-01-01,Day one,Plage de la Salis,,
Antibes,21060004500012,Rencontre Interclub N3,2020-01-04,2020-01-04,Badminton Club d'Antibes,Gymnase de la Fontonne,,
Antibes,21060004500012,Match parent + Galette des rois,2020-01-12,2020-01-12,OAJLP Handball,Salle Saint Claude,,
Antibes,21060004500012,AG Wild Move ,2020-01-12,2020-01-12,Wild Move ,Base Nautique du Ponteil,,
Antibes,21060004500012,Ski Voile International,2020-01-16,2020-01-19,Société des Régates d'Antibes,Port Gallice,,
Antibes,21060004500012,19ème souvenir Ange Rovillo,2020-01-19,2020-01-19,Antibes vélo passion,Parking du ponteil Z3,,
Antibes,21060004500012,Rencontre France/Pays de Galles ,2020-01-21,2020-01-24,ASF Hockey sur Gazon,Stade Docteur Léger T3,,
Antibes,21060004500012,Challenge Interdépartemental de Sarbacanne,2020-01-22,2020-01-22,Handisport Antibes Méditerranée,Salle Saint Claude,,
Antibes,21060004500012,Sélection Départementale Performance et Fédérale de Gym ,2020-02-01,2020-02-01,OAJLP Gymnastique ,Salle Brochard,,
Antibes,21060004500012,top 12 gym,2020-02-08,2020-02-08,OAJLP Gymnastique ,Foch,,
