animations,date_debut,date_fin,organisateur,lieu_1,yd,md,dd,yf,mf,df,yearmonth,duration
entraînement boxe tony yoka,2019-07-10,2019-07-10,sharks d'antibes,pré des pêcheurs,2019,7,10,2019,7,10,2019-7,0
19ème national de boule carrée,2019-07-14,2019-07-14,commune libre du safranier,safranier,2019,7,14,2019,7,14,2019-7,0
tour de france kiwanis,2019-07-20,2019-07-20,kiwanis,creps,2019,7,20,2019,7,20,2019-7,0
jeux de la jeunesse d'aalborg,2019-07-30,2019-08-04,direction des sports de la ville d'antibes,aalborg,2019,7,30,2019,8,4,2019-7,5
31ème challenge marc grilli,2019-08-21,2019-08-21,belles rives ski nautique club,juan-les-pins,2019,8,21,2019,8,21,2019-8,0
tournoi jeunes du tca,2019-08-24,2019-09-01,tennis club d'antibes,tennis jules grec,2019,8,24,2019,9,1,2019-8,8
tournoi et assemblée générale,2019-09-01,2019-09-01,oajlp volley-ball,stade du fort carré,2019,9,1,2019,9,1,2019-9,0
tournoi pre saison,2019-09-07,2019-09-07,as fontonne,parc des sport dr léger,2019,9,7,2019,9,7,2019-9,0
fête de la jeunesse,2019-09-08,2019-09-08,direction des sports de la ville d'antibes,stade du fort carré,2019,9,8,2019,9,8,2019-9,0
tournoi riviera antibes itf,2019-09-08,2019-09-15,tennis club d'antibes,tennis club d'antibes,2019,9,8,2019,9,15,2019-9,7
championnat de france de handball,2019-09-13,2019-09-13,sapeurs-pompiers d'antibes,salle saint claude,2019,9,13,2019,9,13,2019-9,0
tournoi pre saison,2019-09-14,2019-09-14,as fontonne,parc des sport dr léger,2019,9,14,2019,9,14,2019-9,0
challenge bonnetot,2019-09-14,2019-09-14,club loisirs de la gendarmerie d'antibes,stade du fort carré,2019,9,14,2019,9,14,2019-9,0
ti-plage,2019-09-15,2019-09-15,bde-bds polytech nice sophia,plage du pont du lys,2019,9,15,2019,9,15,2019-9,0
concours d'agility,2019-09-15,2019-09-15,amicale du chien de travail d'antibes,zi des 3 moulins,2019,9,15,2019,9,15,2019-9,0
concours baca,2019-09-21,2019-09-21,boule amicale du cap d'antibes,clos jean bunoz,2019,9,21,2019,9,21,2019-9,0
rencontre interclub n3,2019-09-21,2019-09-21,badminton club d'antibes,gymnase de la fontonne,2019,9,21,2019,9,21,2019-9,0
